,date,month_day,crimes_committed
0,2018-01-01,01-01,895
1,2018-01-02,01-02,559
2,2018-01-03,01-03,574
3,2018-01-04,01-04,601
4,2018-01-05,01-05,663
5,2018-01-06,01-06,585
6,2018-01-07,01-07,533
7,2018-01-08,01-08,618
8,2018-01-09,01-09,652
9,2018-01-10,01-10,717
10,2018-01-11,01-11,700
11,2018-01-12,01-12,706
12,2018-01-13,01-13,617
13,2018-01-14,01-14,564
14,2018-01-15,01-15,529
15,2018-01-16,01-16,614
16,2018-01-17,01-17,648
17,2018-01-18,01-18,626
18,2018-01-19,01-19,708
19,2018-01-20,01-20,729
20,2018-01-21,01-21,717
21,2018-01-22,01-22,724
22,2018-01-23,01-23,718
23,2018-01-24,01-24,613
24,2018-01-25,01-25,641
25,2018-01-26,01-26,762
26,2018-01-27,01-27,754
27,2018-01-28,01-28,671
28,2018-01-29,01-29,652
29,2018-01-30,01-30,635
30,2018-01-31,01-31,708
31,2018-02-01,02-01,729
32,2018-02-02,02-02,672
33,2018-02-03,02-03,627
34,2018-02-04,02-04,512
35,2018-02-05,02-05,540
36,2018-02-06,02-06,588
37,2018-02-07,02-07,542
38,2018-02-08,02-08,556
39,2018-02-09,02-09,505
40,2018-02-10,02-10,534
41,2018-02-11,02-11,537
42,2018-02-12,02-12,572
43,2018-02-13,02-13,642
44,2018-02-14,02-14,660
45,2018-02-15,02-15,698
46,2018-02-16,02-16,663
47,2018-02-17,02-17,603
48,2018-02-18,02-18,586
49,2018-02-19,02-19,625
50,2018-02-20,02-20,643
51,2018-02-21,02-21,639
52,2018-02-22,02-22,678
53,2018-02-23,02-23,671
54,2018-02-24,02-24,681
55,2018-02-25,02-25,655
56,2018-02-26,02-26,625
57,2018-02-27,02-27,691
58,2018-02-28,02-28,646
59,2018-03-01,03-01,820
60,2018-03-02,03-02,691
61,2018-03-03,03-03,664
62,2018-03-04,03-04,648
63,2018-03-05,03-05,664
64,2018-03-06,03-06,652
65,2018-03-07,03-07,656
66,2018-03-08,03-08,660
67,2018-03-09,03-09,743
68,2018-03-10,03-10,683
69,2018-03-11,03-11,618
70,2018-03-12,03-12,661
71,2018-03-13,03-13,638
72,2018-03-14,03-14,664
73,2018-03-15,03-15,691
74,2018-03-16,03-16,702
75,2018-03-17,03-17,777
76,2018-03-18,03-18,687
77,2018-03-19,03-19,659
78,2018-03-20,03-20,711
79,2018-03-21,03-21,688
80,2018-03-22,03-22,670
81,2018-03-23,03-23,752
82,2018-03-24,03-24,648
83,2018-03-25,03-25,676
